rank,nameEn,id,country,degree,deadline,sourceUrl,gapCount,gapFields
1,Partial Funded Master's Scholarship in Artificial Intelligence UK 2026,cmpfgu0js004b56hi71w78xpk,United Kingdom,Master,2026-08-15,https://www.for9a.com/en/opportunity/partial-funded-masters-scholarship-in-artificial-intelligence-uk-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
2,Master’s in Renewable and Sustainable Energy in the United Kingdom 2026,cmpfglk5s002ldu2i43mddjjh,United Kingdom,Master,2026-08-20,https://www.for9a.com/en/opportunity/fully-funded-masters-scholarship-in-sustainable-energy-uk-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
3,Partially Funded Master's Scholarship in UK From York University 2026,cmpfguaxn004o56hiojq0038x,United Kingdom,Master,2026-08-28,https://www.for9a.com/en/opportunity/partially-funded-masters-scholarship-in-uk-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
4,Üsküdar University Scholarship 2026 in Turkey | Scholarships for International Students,cmpfgvnq8006f56hiv637gh27,Turkey,Bachelor / Master / PhD,2026-08-30,https://www.for9a.com/en/opportunity/Ã¼skÃ¼dar-university-scholarship-2026-in-turkey-scholarships-for-international-students,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
5,"Fully Funded Scholarships for Bachelor's, Master's, and PhD in Germany 2026",cmpfgou9z002ta8cw4t5sh722,Germany,Master / PhD,2026-09-01,https://www.for9a.com/en/opportunity/fully-funded-scholarships-for-bachelors-masters-and-phd-in-germany-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
6,Fully Funded Master's Scholarship in Computer Science at University of London UK 2026,cmpfglfty002gdu2ip8n6fvnl,United Kingdom,Master,2026-09-09,https://www.for9a.com/en/opportunity/fully-funded-masters-scholarship-in-computer-science-at-university-of-london-uk-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
7,McCall MacBain Scholarship | Fully Funded Master's Programs at McGill University in Canada,cmpfgpvbj003ya8cwxt7idgni,Canada,Master,2026-09-23,https://www.for9a.com/en/opportunity/mccall-macbain-scholarship-fully-funded-masters-programs-at-mcgill-university-in-canada,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
8,"Fully Funded Undergraduate, Master’s & PhD Scholarship in China 2026",cmpfgozd5002za8cwe72ofedf,China,Master / PhD,2026-09-30,https://www.for9a.com/en/opportunity/fully-funded-undergraduate-masters-phd-scholarship-in-china-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
9,Study Opportunity in Europe at EMUNI University | Master’s and PhD with Partial Scholarships,cmpfgv5gu005s56hi4qwg957x,Slovenia,Master / PhD,2026-09-30,https://www.for9a.com/en/opportunity/study-opportunity-in-europe-20262027-masters-and-phd-with-partial-scholarships,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
10,Fully Funded Scholarships in Iraq 2026 for International Students,cmpfgov5t002ua8cw1s9us3k4,Iraq,Bachelor / Master / PhD,2026-09-30,https://www.for9a.com/en/opportunity/fully-funded-scholarships-in-iraq-2026-for-international-students,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
11,Gilman International Scholarship 2026 | Fully Funded Program for Undergraduate Students in the USA,cmpfgpak5003ba8cwcdgsbmse,United States,Master,2026-10-01,https://www.for9a.com/en/opportunity/gilman-international-scholarship-2026-fully-funded-program-for-undergraduate-students-in-the-usa,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
12,"University of Winnipeg Scholarship 2026 in Canada for International Students with Funding up to CAD 5,000",cmpfgvmzq006e56hito1bcdo5,Canada,Bachelor / Master / PhD,2026-10-01,https://www.for9a.com/en/opportunity/university-of-winnipeg-scholarship-2026-in-canada-for-international-students-with-funding-up-to-cad-5000,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
13,Partially Funded Bachelor's Scholarship in USA 2026,cmpfgu55q004h56hi7qkjf9d7,United States,Bachelor,2026-10-04,https://www.for9a.com/en/opportunity/partially-funded-bachelors-scholarship-in-usa-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
14,Chevening Scholarship (UK Government),cmpfgjchv0002du2it4iu85iv,United Kingdom,Master,2026-10-06,https://www.chevening.org/scholarships/,4,minimumAge|maximumAge|minimumGPA|applicationFee
15,Florida Nursing Scholarship 2026 for Nursing Students in Florida,cmpfgkcir0015du2ie1oezyfk,United States,Bachelor / Master / PhD,2026-10-13,https://www.for9a.com/en/opportunity/408-nurses-training-scholarship-at-eastern-florida-state-college-2026,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
16,Study in Istanbul: Altınbaş University Scholarship 2026 | Scholarships for International Students,cmpfgv4rb005r56hi9rxvp3gt,Turkey,Bachelor,2026-10-30,https://www.for9a.com/en/opportunity/study-in-istanbul-altÄ±nbaÅ-university-scholarship-2026-scholarships-for-international-students,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
17,National Scholarship Program Slovakia 2026 for International Students,cmpfgpzog0043a8cwd21afzwl,Slovakia,Bachelor / Master / PhD,2026-10-31,https://www.for9a.com/en/opportunity/national-scholarship-program-of-the-slovak-republic,11,requirements|benefits|minimumAge|maximumAge|minimumGPA|englishRequirement|applicationFee|eligibleCountries|eligibleEducation|fieldOfStudy|requiredDocuments
